area,year,average_rain_fall_mm_per_year,crops,crop_yields,pesticide_tonnes,avg_temp
Albania,1990,1485.0,Maize,36613,121.0,16.37
Albania,1990,1485.0,Potatoes,66667,121.0,16.37
Albania,1990,1485.0,"Rice, paddy",23333,121.0,16.37
Albania,1990,1485.0,Sorghum,12500,121.0,16.37
Albania,1990,1485.0,Soybeans,7000,121.0,16.37
Albania,1990,1485.0,Wheat,30197,121.0,16.37
Albania,1991,1485.0,Maize,29068,121.0,15.36
Albania,1991,1485.0,Potatoes,77818,121.0,15.36
Albania,1991,1485.0,"Rice, paddy",28538,121.0,15.36
Albania,1991,1485.0,Sorghum,6667,121.0,15.36
Albania,1991,1485.0,Soybeans,6066,121.0,15.36
Albania,1991,1485.0,Wheat,20698,121.0,15.36
Albania,1992,1485.0,Maize,24876,121.0,16.06
Albania,1992,1485.0,Potatoes,82920,121.0,16.06
Albania,1992,1485.0,"Rice, paddy",40000,121.0,16.06
Albania,1992,1485.0,Sorghum,3747,121.0,16.06
Albania,1992,1485.0,Soybeans,4507,121.0,16.06
Albania,1992,1485.0,Wheat,24388,121.0,16.06
Albania,1993,1485.0,Maize,24185,121.0,16.05
Albania,1993,1485.0,Potatoes,98446,121.0,16.05
Albania,1993,1485.0,"Rice, paddy",41786,121.0,16.05
Albania,1993,1485.0,Soybeans,7998,121.0,16.05
Albania,1993,1485.0,Wheat,29976,121.0,16.05
Albania,1994,1485.0,Maize,25848,201.0,16.96
Albania,1994,1485.0,Potatoes,81404,201.0,16.96
Albania,1994,1485.0,Soybeans,7927,201.0,16.96
Albania,1994,1485.0,Wheat,24745,201.0,16.96
Albania,1995,1485.0,Maize,31300,251.0,15.67
Albania,1995,1485.0,Potatoes,111323,251.0,15.67
Albania,1995,1485.0,Soybeans,11791,251.0,15.67
Albania,1995,1485.0,Wheat,28703,251.0,15.67
Albania,1996,1485.0,Maize,32604,313.96,15.64
Albania,1996,1485.0,Potatoes,106138,313.96,15.64
Albania,1996,1485.0,Soybeans,15480,313.96,15.64
Albania,1996,1485.0,Wheat,21741,313.96,15.64
Albania,1997,1485.0,Maize,31862,376.93,15.9
Albania,1997,1485.0,Potatoes,109874,376.93,15.9
Albania,1997,1485.0,Soybeans,12768,376.93,15.9
Albania,1997,1485.0,Wheat,28516,376.93,15.9
Albania,1998,1485.0,Maize,33416,439.89,16.27
Albania,1998,1485.0,Potatoes,127212,439.89,16.27
Albania,1998,1485.0,Soybeans,14327,439.89,16.27
Albania,1998,1485.0,Wheat,28037,439.89,16.27
Albania,1999,1485.0,Maize,37455,502.86,16.57
Albania,1999,1485.0,Potatoes,142018,502.86,16.57
Albania,1999,1485.0,Soybeans,17143,502.86,16.57
Albania,1999,1485.0,Wheat,24954,502.86,16.57
Albania,2000,1485.0,Maize,38811,565.82,16.67
Albania,2000,1485.0,Potatoes,141228,565.82,16.67
Albania,2000,1485.0,Soybeans,15000,565.82,16.67
Albania,2000,1485.0,Wheat,30455,565.82,16.67
Albania,2001,1485.0,Maize,38135,628.79,16.59
Albania,2001,1485.0,Potatoes,148818,628.79,16.59
Albania,2001,1485.0,Soybeans,20000,628.79,16.59
Albania,2001,1485.0,Wheat,28220,628.79,16.59
Albania,2002,1485.0,Maize,39460,691.75,16.47
Albania,2002,1485.0,Potatoes,153868,691.75,16.47
Albania,2002,1485.0,Soybeans,20000,691.75,16.47
Albania,2002,1485.0,Wheat,31617,691.75,16.47
Albania,2004,1485.0,Maize,46197,817.68,16.16
Albania,2004,1485.0,Potatoes,149346,817.68,16.16
Albania,2004,1485.0,Soybeans,13333,817.68,16.16
Albania,2004,1485.0,Wheat,31130,817.68,16.16
Albania,2005,1485.0,Maize,45442,880.64,15.67
Albania,2005,1485.0,Potatoes,167061,880.64,15.67
Albania,2005,1485.0,Soybeans,17500,880.64,15.67
Albania,2005,1485.0,Wheat,31582,880.64,15.67
Albania,2006,1485.0,Maize,50111,943.61,15.92
Albania,2006,1485.0,Potatoes,170745,943.61,15.92
Albania,2006,1485.0,Soybeans,20000,943.61,15.92
Albania,2006,1485.0,Wheat,30787,943.61,15.92
Albania,2007,1485.0,Maize,46732,1006.57,16.67
Albania,2007,1485.0,Potatoes,188902,1006.57,16.67
Albania,2007,1485.0,Soybeans,20000,1006.57,16.67
Albania,2007,1485.0,Wheat,35496,1006.57,16.67
Albania,2008,1485.0,Maize,50000,1069.54,16.71
Albania,2008,1485.0,Potatoes,193878,1069.54,16.71
Albania,2008,1485.0,Soybeans,20000,1069.54,16.71
Albania,2008,1485.0,Wheat,40168,1069.54,16.71
Albania,2009,1485.0,Maize,55693,1132.5,16.73
Albania,2009,1485.0,Potatoes,219780,1132.5,16.73
Albania,2009,1485.0,Soybeans,16667,1132.5,16.73
Albania,2009,1485.0,Wheat,40229,1132.5,16.73
Albania,2010,1485.0,Maize,66790,1311.17,16.52
Albania,2010,1485.0,Potatoes,231111,1311.17,16.52
Albania,2010,1485.0,Soybeans,16667,1311.17,16.52
Albania,2010,1485.0,Wheat,39905,1311.17,16.52
Albania,2011,1485.0,Maize,59869,1302.63,16.45
Albania,2011,1485.0,Potatoes,242211,1302.63,16.45
Albania,2011,1485.0,Soybeans,18519,1302.63,16.45
Albania,2011,1485.0,Wheat,42301,1302.63,16.45
Albania,2012,1485.0,Maize,67290,766.25,16.7
Albania,2012,1485.0,Potatoes,250538,766.25,16.7
Albania,2012,1485.0,Soybeans,13333,766.25,16.7
Albania,2012,1485.0,Wheat,41096,766.25,16.7
Albania,2013,1485.0,Maize,69533,982.32,17.41
Albania,2013,1485.0,Potatoes,260110,982.32,17.41
Albania,2013,1485.0,Soybeans,10000,982.32,17.41
Albania,2013,1485.0,Wheat,41292,982.32,17.41
Algeria,1990,89.0,Maize,16500,1828.92,17.48
Algeria,1990,89.0,Potatoes,78936,1828.92,17.48
Algeria,1990,89.0,"Rice, paddy",28000,1828.92,17.48
Algeria,1990,89.0,Sorghum,16571,1828.92,17.48
Algeria,1990,89.0,Wheat,6315,1828.92,17.48
Algeria,1991,89.0,Maize,19231,2461.8,16.26
Algeria,1991,89.0,Potatoes,90747,2461.8,16.26
Algeria,1991,89.0,"Rice, paddy",26786,2461.8,16.26
Algeria,1991,89.0,Sorghum,24231,2461.8,16.26
Algeria,1991,89.0,Wheat,10809,2461.8,16.26
Algeria,1992,89.0,Maize,22828,1215.47,16.27
Algeria,1992,89.0,Potatoes,107917,1215.47,16.27
Algeria,1992,89.0,"Rice, paddy",24733,1215.47,16.27
Algeria,1992,89.0,Sorghum,40000,1215.47,16.27
Algeria,1992,89.0,Wheat,9939,1215.47,16.27
Algeria,1993,89.0,Maize,12500,1021.89,17.0
Algeria,1993,89.0,Potatoes,111215,1021.89,17.0
Algeria,1993,89.0,"Rice, paddy",23111,1021.89,17.0
Algeria,1993,89.0,Sorghum,50000,1021.89,17.0
Algeria,1993,89.0,Wheat,8097,1021.89,17.0
Algeria,1994,89.0,Maize,4512,1255.02,17.88
Algeria,1994,89.0,Potatoes,95078,1255.02,17.88
Algeria,1994,89.0,"Rice, paddy",21374,1255.02,17.88
Algeria,1994,89.0,Wheat,7999,1255.02,17.88
Algeria,1995,89.0,Maize,16115,2697.09,17.36
Algeria,1995,89.0,Potatoes,136768,2697.09,17.36
Algeria,1995,89.0,"Rice, paddy",19598,2697.09,17.36
Algeria,1995,89.0,Sorghum,12667,2697.09,17.36
Algeria,1995,89.0,Wheat,8924,2697.09,17.36
Algeria,1996,89.0,Maize,17154,479.77,16.76
Algeria,1996,89.0,Potatoes,134629,479.77,16.76
Algeria,1996,89.0,"Rice, paddy",17861,479.77,16.76
Algeria,1996,89.0,Sorghum,14750,479.77,16.76
Algeria,1996,89.0,Wheat,13090,479.77,16.76
Algeria,1997,89.0,Maize,21417,401.22,17.84
Algeria,1997,89.0,Potatoes,141042,401.22,17.84
Algeria,1997,89.0,"Rice, paddy",15000,401.22,17.84
Algeria,1997,89.0,Sorghum,40000,401.22,17.84
Algeria,1997,89.0,Wheat,8016,401.22,17.84
Algeria,1998,89.0,Maize,17222,322.84,17.14
Algeria,1998,89.0,Potatoes,160256,322.84,17.14
Algeria,1998,89.0,"Rice, paddy",15000,322.84,17.14
Algeria,1998,89.0,Sorghum,24500,322.84,17.14
Algeria,1998,89.0,Wheat,8847,322.84,17.14
Algeria,1999,89.0,Maize,22375,654.45,17.97
Algeria,1999,89.0,Potatoes,153532,654.45,17.97
Algeria,1999,89.0,"Rice, paddy",13942,654.45,17.97
Algeria,1999,89.0,Sorghum,27000,654.45,17.97
Algeria,1999,89.0,Wheat,10711,654.45,17.97
Algeria,2000,89.0,Maize,36186,603.67,17.9
Algeria,2000,89.0,Potatoes,166143,603.67,17.9
Algeria,2000,89.0,"Rice, paddy",13052,603.67,17.9
Algeria,2000,89.0,Sorghum,69500,603.67,17.9
Algeria,2000,89.0,Wheat,9194,603.67,17.9
Algeria,2001,89.0,Maize,27175,710.11,18.13
Algeria,2001,89.0,Potatoes,147018,710.11,18.13
